Pergunta,Resposta,id
Quais são os direitos do consumidor ao adquirir um produto com defeito?,"O consumidor tem direito à reparação ou substituição do produto, e, caso o problema não seja resolvido, pode buscar ajuda no Procon ou no Judiciário.",14
Como proceder em caso de demissão sem justa causa?,"É importante verificar se seus direitos foram respeitados, como aviso prévio, pagamento de verbas rescisórias e acesso ao seguro-desemprego.",15
O escritório ajuda na recuperação de crédito?,"Sim, atuamos em ações de recuperação de crédito, negociando com devedores e, se necessário, ajuizando ações para recuperação de valores.",16
É possível reverter uma decisão judicial desfavorável?,"Sim, é possível recorrer em algumas situações, dependendo do tipo de decisão e do prazo para interposição de recursos.",17
O escritório atua em processos de inventário e partilha de bens?,"Sim, atuamos em processos de inventário e partilha de bens, orientando sobre a documentação necessária e os procedimentos legais.",18
Quais são os riscos de não ter um contrato formal em transações comerciais?,A ausência de contrato formal pode gerar disputas e dificuldades para comprovar direitos. Recomendamos sempre formalizar as transações.,19
Quais os benefícios de um acordo extrajudicial?,"Os acordos extrajudiciais podem ser mais rápidos e econômicos, além de reduzir desgastes emocionais e preservar relacionamentos entre as partes.",20
O escritório possui advogados especializados em LGPD?,"Sim, temos profissionais especializados em LGPD para orientar empresas na adequação à lei e evitar penalidades.",21
Como proteger minha marca ou patente?,"Para proteger sua marca ou patente, é necessário realizar o registro no INPI. Oferecemos todo o suporte durante o processo.",22
O escritório realiza acompanhamento em audiências?,"Sim, acompanhamos nossos clientes em audiências, garantindo uma defesa técnica e eficaz em todas as etapas do processo.",23
Quais são os direitos em caso de assédio moral no trabalho?,A vítima de assédio moral tem direito à indenização e pode buscar orientação jurídica para registrar a ocorrência e buscar reparação.,24
Como funciona o atendimento para empresas?,"Oferecemos atendimento personalizado para empresas, incluindo consultoria, análise de contratos e gestão de riscos legais.",25
O escritório oferece serviços de compliance?,"Sim, auxiliamos empresas na implementação de programas de compliance, garantindo conformidade com legislações e prevenção de riscos legais.",26
Como evitar problemas legais em contratos de locação?,"Recomendamos revisar o contrato com um advogado antes de assiná-lo, para evitar cláusulas abusivas ou omissões que prejudiquem o locador ou o locatário.",27
O que é necessário para solicitar a guarda compartilhada de um filho?,"É necessário apresentar provas de que a guarda compartilhada será no melhor interesse do menor, incluindo documentação e testemunhos.",28
Quais são os prazos para recorrer de uma decisão judicial?,Os prazos variam de acordo com o tipo de recurso e o tribunal. É fundamental agir rapidamente para não perder o prazo.,29
O escritório atua em defesa de empresas em processos ambientais?,"Sim, defendemos empresas em processos relacionados a danos ambientais, orientando sobre regularizações e disputas judiciais.",30
Quais são os cuidados ao abrir uma empresa?,"Abrir uma empresa requer análise do modelo de negócio, escolha do tipo societário e elaboração de contratos sociais. Oferecemos suporte completo nesse processo.",31
Como lidar com cobranças indevidas de instituições financeiras?,"Recomendamos revisar extratos bancários e contratos para verificar cobranças indevidas. Se necessário, ajuizamos ações para cessar a prática.",32
O escritório atua em ações de usucapião?,"Sim, atuamos em ações de usucapião, orientando sobre os requisitos legais e reunindo os documentos necessários para o processo.",33
O que fazer em caso de violação de direitos autorais?,A violação de direitos autorais pode resultar em ações judiciais. Atuamos na proteção dos direitos do autor e na reparação de danos.,34
Quais são os critérios para concessão de aposentadoria?,"Os critérios incluem tempo de contribuição, idade mínima e outros requisitos específicos. Oferecemos consultoria para verificar a elegibilidade.",35
O escritório oferece treinamentos jurídicos para empresas?,"Sim, oferecemos treinamentos sobre legislação e boas práticas para equipes empresariais, adaptados às necessidades do cliente.",36
O que é assessoria jurídica para startups?,"A assessoria jurídica para startups inclui estruturação societária, análise de contratos, proteção de propriedade intelectual e planejamento tributário.",37
Como regularizar uma sociedade empresarial?,"Oferecemos suporte para regularizar sociedades empresariais, incluindo alterações contratuais e registro em órgãos competentes.",38
O escritório atua em casos de danos morais?,"Sim, atuamos em casos de danos morais, analisando cada situação e buscando reparação adequada no Judiciário.",39
Quais são os benefícios de uma mediação judicial?,"A mediação judicial promove soluções consensuais, reduzindo o tempo e o custo de litígios, além de preservar os relacionamentos entre as partes.",40
Como funciona a cobrança de honorários por êxito?,Honorários por êxito são cobrados com base no resultado obtido no processo. O percentual é acordado previamente com o cliente.,41
O escritório pode ajudar em processos licitatórios?,"Sim, auxiliamos empresas em todas as etapas de processos licitatórios, garantindo conformidade com a legislação vigente.",42
Quais são as etapas para obter um visto de trabalho no Brasil?,"Os passos incluem reunir documentos, comprovar a necessidade do visto e atender às exigências do Ministério da Justiça. Oferecemos suporte em todo o processo.",43
Como contestar multas aplicadas por órgãos públicos?,A contestação de multas exige análise da infração e das notificações. Atuamos na elaboração de recursos administrativos e judiciais.,44
O escritório atua em casos de direito imobiliário?,"Sim, temos expertise em direito imobiliário, abrangendo compra, venda, locação e regularização de imóveis.",45
Quais são os passos para registrar uma ONG?,"O registro de uma ONG envolve elaboração de estatutos, registro em cartório e obtenção de CNPJ. Oferecemos orientação em todas as etapas.",46
Como garantir a segurança jurídica em fusões e aquisições?,"A segurança jurídica em fusões e aquisições requer due diligence, análise contratual e planejamento estratégico. Oferecemos suporte completo.",47
O que é necessário para entrar com uma ação revisional de contrato?,"Para uma ação revisional de contrato, é necessário apresentar os documentos do contrato e comprovar cláusulas abusivas ou excessivas.",48
O escritório oferece consultoria em reestruturação empresarial?,"Sim, oferecemos consultoria em reestruturação empresarial, incluindo renegociação de dívidas e adequação à legislação.",49
Quais cuidados devem ser tomados em uma contratação temporária?,"Recomendamos revisar contratos e condições de trabalho, evitando cláusulas que possam gerar problemas futuros.",50
Como funciona a consultoria para planejamento tributário?,"Nosso escritório auxilia na análise tributária para reduzir encargos fiscais, garantindo economia dentro da legalidade.",51
